city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state
Monte Alegre,1504802,462,796.11249,2020-06-26,0.0325,15,58032.0,True,72,city,PA
Muaná,1504901,159,394.06181,2020-06-26,0.0692,11,40349.0,True,72,city,PA
Nova Esperança do Piriá,1504950,330,1544.36541,2020-06-26,0.0182,6,21368.0,True,61,city,PA
Nova Ipixuna,1504976,158,947.3558,2020-06-26,0.019,3,16678.0,True,73,city,PA
Nova Timboteua,1505007,117,761.57001,2020-06-26,0.0085,1,15363.0,True,63,city,PA
Novo Progresso,1505031,327,1269.31139,2020-06-26,0.0031,1,25762.0,True,84,city,PA
Novo Repartimento,1505064,96,126.45056,2020-06-26,0.125,12,75919.0,True,50,city,PA
Óbidos,1505106,112,214.81865,2020-06-26,0.0446,5,52137.0,True,73,city,PA
Oeiras do Pará,1505205,357,1098.0561,2020-06-26,0.0588,21,32512.0,True,84,city,PA
Oriximiná,1505304,855,1169.69465,2020-06-26,0.0246,21,73096.0,True,67,city,PA
Ourém,1505403,114,638.94182,2020-06-26,0.0175,2,17842.0,True,67,city,PA
Ourilândia do Norte,1505437,1022,3112.81676,2020-06-26,0.0029,3,32832.0,True,57,city,PA
Pacajá,1505486,257,538.7163,2020-06-26,0.0272,7,47706.0,True,66,city,PA
Palestina do Pará,1505494,29,382.13203,2020-06-26,0.0345,1,7589.0,True,42,city,PA
Paragominas,1505502,1355,1197.57833,2020-06-26,0.0546,74,113145.0,True,63,city,PA
Parauapebas,1505536,9593,4605.97389,2020-06-26,0.0116,111,208273.0,True,90,city,PA
Pau D'Arco,1505551,34,620.09849,2020-06-26,0.0294,1,5483.0,True,53,city,PA
Peixe-Boi,1505601,61,755.2309,2020-06-26,0.0328,2,8077.0,True,57,city,PA
Piçarra,1505635,83,639.39604,2020-06-26,0.0,0,12981.0,True,39,city,PA
Placas,1505650,116,374.41095,2020-06-26,0.0,0,30982.0,True,23,city,PA
Ponta de Pedras,1505700,281,904.06023,2020-06-26,0.0214,6,31082.0,True,63,city,PA
Portel,1505809,684,1102.4612,2020-06-26,0.0512,35,62043.0,True,52,city,PA
Porto de Moz,1505908,501,1217.94093,2020-06-26,0.0439,22,41135.0,True,63,city,PA
Prainha,1506005,130,435.27757,2020-06-26,0.0308,4,29866.0,True,57,city,PA
Primavera,1506104,193,1782.90993,2020-06-26,0.0363,7,10825.0,True,71,city,PA
Quatipuru,1506112,246,1807.76014,2020-06-26,0.0366,9,13608.0,True,76,city,PA
Redenção,1506138,981,1157.017,2020-06-26,0.0143,14,84787.0,True,65,city,PA
Rio Maria,1506161,389,2138.18502,2020-06-26,0.0051,2,18193.0,True,55,city,PA
Rondon do Pará,1506187,143,273.12489,2020-06-26,0.0909,13,52357.0,True,73,city,PA
Rurópolis,1506195,365,722.62918,2020-06-26,0.0082,3,50510.0,True,43,city,PA
Salinópolis,1506203,409,1005.53165,2020-06-26,0.0733,30,40675.0,True,74,city,PA
Salvaterra,1506302,272,1145.16672,2020-06-26,0.0441,12,23752.0,True,68,city,PA
Santa Bárbara do Pará,1506351,220,1043.69277,2020-06-26,0.0455,10,21079.0,True,73,city,PA
Santa Cruz do Arari,1506401,88,868.87836,2020-06-26,0.0568,5,10128.0,True,68,city,PA
Santa Izabel do Pará,1506500,439,620.04774,2020-06-26,0.0683,30,70801.0,True,67,city,PA
Santa Luzia do Pará,1506559,119,599.55663,2020-06-26,0.0588,7,19848.0,True,55,city,PA
Santa Maria das Barreiras,1506583,66,307.70665,2020-06-26,0.0303,2,21449.0,True,36,city,PA
Santa Maria do Pará,1506609,158,635.53357,2020-06-26,0.0949,15,24861.0,True,66,city,PA
Santana do Araguaia,1506708,116,159.30346,2020-06-26,0.0259,3,72817.0,True,49,city,PA
Santarém,1506807,3043,999.05118,2020-06-26,0.0529,161,304589.0,True,86,city,PA
Santarém Novo,1506906,114,1699.21002,2020-06-26,0.0263,3,6709.0,True,56,city,PA
Santo Antônio do Tauá,1507003,324,1029.15952,2020-06-26,0.0679,22,31482.0,True,80,city,PA
São Caetano de Odivelas,1507102,338,1872.57618,2020-06-26,0.0444,15,18050.0,True,65,city,PA
São Domingos do Araguaia,1507151,244,954.72865,2020-06-26,0.0164,4,25557.0,True,52,city,PA
São Domingos do Capim,1507201,65,203.19485,2020-06-26,0.0462,3,31989.0,True,61,city,PA
São Félix do Xingu,1507300,461,358.80792,2020-06-26,0.013,6,128481.0,True,59,city,PA
São Francisco do Pará,1507409,66,415.56479,2020-06-26,0.0455,3,15882.0,True,47,city,PA
São Geraldo do Araguaia,1507458,267,1074.57641,2020-06-26,0.0449,12,24847.0,True,84,city,PA
São João da Ponta,1507466,23,374.65385,2020-06-26,0.087,2,6139.0,True,60,city,PA
São João de Pirabas,1507474,164,711.65112,2020-06-26,0.0915,15,23045.0,True,64,city,PA
São João do Araguaia,1507508,18,128.60817,2020-06-26,0.1111,2,13996.0,True,65,city,PA
São Miguel do Guamá,1507607,944,1600.37975,2020-06-26,0.0275,26,58986.0,True,76,city,PA
São Sebastião da Boa Vista,1507706,253,949.6997,2020-06-26,0.0316,8,26640.0,True,66,city,PA
Sapucaia,1507755,54,910.62395,2020-06-26,0.037,2,5930.0,True,45,city,PA
Senador José Porfírio,1507805,372,3190.94184,2020-06-26,0.0403,15,11658.0,True,54,city,PA
Soure,1507904,223,878.85237,2020-06-26,0.0359,8,25374.0,True,49,city,PA
Tailândia,1507953,936,880.20388,2020-06-26,0.0235,22,106339.0,True,66,city,PA
Terra Alta,1507961,155,1322.5256,2020-06-26,0.0581,9,11720.0,True,67,city,PA
Terra Santa,1507979,140,745.91081,2020-06-26,0.0143,2,18769.0,True,55,city,PA
Tomé-Açu,1508001,547,862.1369,2020-06-26,0.0567,31,63447.0,True,63,city,PA
Tracuateua,1508035,320,1033.62512,2020-06-26,0.0344,11,30959.0,True,66,city,PA
Trairão,1508050,156,821.52825,2020-06-26,0.0128,2,18989.0,True,45,city,PA
Tucumã,1508084,663,1674.15787,2020-06-26,0.0121,8,39602.0,True,73,city,PA
Tucuruí,1508100,1022,899.18088,2020-06-26,0.0783,80,113659.0,True,87,city,PA
Ulianópolis,1508126,389,656.98362,2020-06-26,0.0257,10,59210.0,True,52,city,PA
Uruará,1508159,393,864.1921,2020-06-26,0.0102,4,45476.0,True,55,city,PA
Vigia,1508209,194,361.3605,2020-06-26,0.0979,19,53686.0,True,72,city,PA
Viseu,1508308,848,1381.04001,2020-06-26,0.0177,15,61403.0,True,63,city,PA
Vitória do Xingu,1508357,496,3277.38866,2020-06-26,0.0262,13,15134.0,True,49,city,PA
Xinguara,1508407,599,1338.51758,2020-06-26,0.0184,11,44751.0,True,67,city,PA
,15,99313,1154.41774,2020-06-26,0.0487,4834,8602865.0,True,101,state,PA
,25,42832,1065.96929,2020-06-26,0.0202,864,4018127.0,True,104,state,PB
,26,55804,583.90275,2020-06-26,0.0826,4610,9557071.0,True,107,state,PE
Acauã,2200053,4,56.46527,2020-06-26,0.0,0,7084.0,True,24,city,PI
Agricolândia,2200103,10,194.59039,2020-06-26,0.0,0,5139.0,True,16,city,PI
Água Branca,2200202,207,1188.90357,2020-06-26,0.0628,13,17411.0,True,65,city,PI
Alagoinha do Piauí,2200251,15,196.0528,2020-06-26,0.0,0,7651.0,True,30,city,PI
Alegrete do Piauí,2200277,1,20.34588,2020-06-26,0.0,0,4915.0,True,12,city,PI
Alto Longá,2200301,25,174.77629,2020-06-26,0.04,1,14304.0,True,46,city,PI
Altos,2200400,337,831.60596,2020-06-26,0.0119,4,40524.0,True,73,city,PI
Alvorada do Gurguéia,2200459,3,55.36077,2020-06-26,0.0,0,5419.0,True,64,city,PI
Amarante,2200509,9,51.14218,2020-06-26,0.0,0,17598.0,True,56,city,PI
Angical do Piauí,2200608,16,235.71008,2020-06-26,0.0625,1,6788.0,True,70,city,PI
Anísio de Abreu,2200707,18,182.18623,2020-06-26,0.0,0,9880.0,True,63,city,PI
Aroazes,2200905,9,154.24165,2020-06-26,0.1111,1,5835.0,True,59,city,PI
Assunção do Piauí,2201051,4,50.98139,2020-06-26,0.0,0,7846.0,True,12,city,PI
Avelino Lopes,2201101,3,26.57454,2020-06-26,0.0,0,11289.0,True,40,city,PI
Baixa Grande do Ribeiro,2201150,45,388.39979,2020-06-26,0.0444,2,11586.0,True,51,city,PI
Barra D'Alcântara,2201176,1,25.31005,2020-06-26,0.0,0,3951.0,True,4,city,PI
Barras,2201200,509,1081.46008,2020-06-26,0.0275,14,47066.0,True,61,city,PI
Barreiras do Piauí,2201309,2,59.73716,2020-06-26,0.0,0,3348.0,True,35,city,PI
Barro Duro,2201408,41,583.04892,2020-06-26,0.0244,1,7032.0,True,33,city,PI
Batalha,2201507,124,461.70458,2020-06-26,0.0323,4,26857.0,True,54,city,PI
Bela Vista do Piauí,2201556,1,24.9066,2020-06-26,0.0,0,4015.0,True,43,city,PI
Belém do Piauí,2201572,8,224.341,2020-06-26,0.125,1,3566.0,True,39,city,PI
Beneditinos,2201606,13,124.19987,2020-06-26,0.2308,3,10467.0,True,54,city,PI
Bertolínia,2201705,12,218.14216,2020-06-26,0.0,0,5501.0,True,55,city,PI
Betânia do Piauí,2201739,3,48.34811,2020-06-26,0.0,0,6205.0,True,68,city,PI
Boa Hora,2201770,32,471.9068,2020-06-26,0.0,0,6781.0,True,59,city,PI
Bocaina,2201804,13,288.88889,2020-06-26,0.0,0,4500.0,True,36,city,PI
Bom Jesus,2201903,238,945.23214,2020-06-26,0.0,0,25179.0,True,64,city,PI
Bom Princípio do Piauí,2201919,12,213.14387,2020-06-26,0.0833,1,5630.0,True,71,city,PI
Bonfim do Piauí,2201929,1,17.63668,2020-06-26,0.0,0,5670.0,True,73,city,PI
Boqueirão do Piauí,2201945,29,452.62994,2020-06-26,0.0,0,6407.0,True,21,city,PI
Brasileira,2201960,32,384.19978,2020-06-26,0.0,0,8329.0,True,32,city,PI
Buriti dos Lopes,2202000,230,1162.73191,2020-06-26,0.013,3,19781.0,True,62,city,PI
Buriti dos Montes,2202026,4,48.52014,2020-06-26,0.25,1,8244.0,True,38,city,PI
Cabeceiras do Piauí,2202059,19,179.48234,2020-06-26,0.0,0,10586.0,True,39,city,PI
Cajazeiras do Piauí,2202075,4,112.39112,2020-06-26,0.0,0,3559.0,True,35,city,PI
Cajueiro da Praia,2202083,72,942.16174,2020-06-26,0.0278,2,7642.0,True,24,city,PI
Caldeirão Grande do Piauí,2202091,15,259.69529,2020-06-26,0.0,0,5776.0,True,35,city,PI
Campinas do Piauí,2202109,5,89.07892,2020-06-26,0.0,0,5613.0,True,30,city,PI
Campo Alegre do Fidalgo,2202117,1,19.82161,2020-06-26,0.0,0,5045.0,True,31,city,PI
Campo Grande do Piauí,2202133,36,605.75467,2020-06-26,0.0278,1,5943.0,True,43,city,PI
Campo Largo do Piauí,2202174,17,233.54856,2020-06-26,0.1176,2,7279.0,True,36,city,PI
Campo Maior,2202208,644,1375.09876,2020-06-26,0.014,9,46833.0,True,85,city,PI
Canto do Buriti,2202307,17,80.23788,2020-06-26,0.0588,1,21187.0,True,63,city,PI
Capitão de Campos,2202406,27,236.48945,2020-06-26,0.0,0,11417.0,True,39,city,PI
Capitão Gervásio Oliveira,2202455,5,121.95122,2020-06-26,0.0,0,4100.0,True,37,city,PI
Caracol,2202505,8,73.28692,2020-06-26,0.0,0,10916.0,True,75,city,PI
